epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6202,3.45647,7.60167,4.27742,0,0,0,0,3.72147,4.62651,4.15763,0.000252061,0.000252061,0.000252061
2,30.3282,3.265,6.46641,4.10924,0,0,0,0,3.56975,4.51255,4.08582,0.000503361,0.000503361,0.000503361
3,44.6649,3.20174,7.78962,3.78203,0.00073,0.04167,0.00055,0.0002,3.45366,6.08961,4.7872,0.000749586,0.000749586,0.000749586
4,57.7626,3.12609,5.82829,3.64,0.00057,0.08333,0.00056,0.00016,2.92979,3.97741,3.34026,0.000746161,0.000746161,0.000746161
