epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,488.385,2.06457,3.51365,2.49787,0.10604,0.425,0.212,0.09834,2.05265,3.7187,2.55949,0.000472089,0.000472089,0.000472089
41,501.025,2.03326,3.66704,2.5014,0.54487,0.09167,0.20023,0.07012,2.16145,3.09019,2.5541,0.000464476,0.000464476,0.000464476
42,513.301,1.98879,3.5557,2.45442,0.63891,0.08333,0.22895,0.09904,2.15876,3.00584,2.56213,0.000456863,0.000456863,0.000456863
43,525.772,1.97519,3.39735,2.43698,0.52182,0.15417,0.19797,0.06792,2.16155,2.90649,2.50946,0.00044925,0.00044925,0.00044925
44,538.034,1.93924,3.43105,2.40117,0.56619,0.04167,0.17845,0.06002,2.27028,3.20972,2.67599,0.000441637,0.000441637,0.000441637
45,549.896,1.94935,3.43941,2.40087,0.90434,0.13333,0.1941,0.06542,2.14499,3.14268,2.51012,0.000434024,0.000434024,0.000434024
46,561.731,1.94413,3.4815,2.43828,0.47335,0.15417,0.19063,0.07119,2.19332,3.42224,2.52954,0.000426411,0.000426411,0.000426411
47,573.773,1.91168,3.421,2.36013,0.61026,0.10417,0.41302,0.20022,2.01563,2.77199,2.46715,0.000418797,0.000418797,0.000418797
48,585.789,1.95525,3.38939,2.38846,0.04201,0.5375,0.20852,0.08597,1.98146,3.36547,2.37226,0.000411184,0.000411184,0.000411184
49,597.511,1.97321,3.35174,2.42563,0.61843,0.1125,0.25015,0.09664,2.18308,3.15362,2.49904,0.000403571,0.000403571,0.000403571
50,609.524,1.90697,3.37958,2.37774,0.55675,0.13333,0.25452,0.10854,2.00362,2.97889,2.41736,0.000395958,0.000395958,0.000395958
51,622.675,1.91912,3.20099,2.32156,0.38297,0.27516,0.27364,0.13284,1.94378,3.28082,2.37926,0.000388345,0.000388345,0.000388345
52,635.659,1.87505,3.27571,2.35864,0.59132,0.11045,0.2176,0.10124,2.0709,3.39493,2.48435,0.000380732,0.000380732,0.000380732
53,648.302,1.83787,3.38792,2.29985,0.39363,0.25833,0.27718,0.1419,1.93441,2.90027,2.43284,0.000373119,0.000373119,0.000373119
54,661.197,1.86929,3.2479,2.30935,0.54376,0.2375,0.38086,0.12852,1.80592,2.76435,2.31739,0.000365506,0.000365506,0.000365506
55,674.172,1.86287,3.22181,2.30978,0.49001,0.1125,0.20194,0.10809,1.97519,2.89027,2.38583,0.000357893,0.000357893,0.000357893
56,687.829,1.86244,3.17748,2.32911,0.7096,0.24069,0.28103,0.1129,2.16036,3.23967,2.56343,0.00035028,0.00035028,0.00035028
57,700.908,1.86301,3.19771,2.28942,0.36912,0.18436,0.29204,0.13974,2.16451,2.66163,2.47906,0.000342666,0.000342666,0.000342666
58,714.404,1.8085,3.2049,2.27083,0.53056,0.10693,0.26304,0.11268,2.07794,3.21151,2.51272,0.000335053,0.000335053,0.000335053
59,728.12,1.85289,3.38031,2.29369,0.82531,0.14177,0.25006,0.14674,2.03501,3.12939,2.47938,0.00032744,0.00032744,0.00032744
60,741.793,1.84523,3.21553,2.28706,0.88791,0.19583,0.36808,0.19845,1.81621,2.53013,2.28244,0.000319827,0.000319827,0.000319827
61,754.977,1.82443,3.28673,2.27093,0.69682,0.32083,0.31481,0.10683,2.04269,3.18795,2.44021,0.000312214,0.000312214,0.000312214
62,768.453,1.74746,3.20418,2.22499,0.82829,0.15417,0.43675,0.21612,1.97544,3.34666,2.37241,0.000304601,0.000304601,0.000304601
63,781.98,1.76835,3.52706,2.20869,0.72951,0.132,0.22506,0.11018,1.9635,3.18912,2.41925,0.000296988,0.000296988,0.000296988
64,795.197,1.79609,3.047,2.24211,0.82673,0.15417,0.30636,0.14453,1.95912,2.97766,2.40884,0.000289375,0.000289375,0.000289375
65,808.475,1.79228,3.02023,2.20752,0.72584,0.175,0.26765,0.12904,1.94376,2.88057,2.37376,0.000281762,0.000281762,0.000281762
66,821.793,1.8005,3.14345,2.21549,0.61399,0.23632,0.28029,0.14755,1.89494,3.03085,2.39463,0.000274148,0.000274148,0.000274148
67,835.383,1.7304,2.89126,2.17379,0.74282,0.13333,0.17741,0.08791,1.85057,3.04881,2.34849,0.000266535,0.000266535,0.000266535
68,848.755,1.74165,3.16207,2.18481,0.75416,0.13333,0.25716,0.12978,1.97878,3.29051,2.4167,0.000258922,0.000258922,0.000258922
69,863.562,1.69811,3.08545,2.15681,0.82801,0.1125,0.20547,0.10084,1.88358,2.82509,2.32609,0.000251309,0.000251309,0.000251309
70,878.19,1.66767,3.04672,2.11781,0.76162,0.1125,0.28982,0.13588,1.96113,2.94487,2.35789,0.000243696,0.000243696,0.000243696
71,892.037,1.7409,2.93624,2.15828,0.74824,0.11822,0.17188,0.08406,1.88458,2.99442,2.29574,0.000236083,0.000236083,0.000236083
72,905.27,1.68498,2.86535,2.11208,0.7289,0.13333,0.32794,0.20117,1.94874,2.89034,2.35724,0.00022847,0.00022847,0.00022847
73,917.624,1.71104,3.19144,2.13537,0.8316,0.1125,0.21208,0.11695,1.99624,3.25103,2.43688,0.000220857,0.000220857,0.000220857
74,930.065,1.65304,2.94734,2.12451,0.77679,0.13333,0.22535,0.10477,1.87262,2.62289,2.30375,0.000213244,0.000213244,0.000213244
75,942.318,1.68708,2.85787,2.15229,0.79865,0.1125,0.25818,0.12251,1.90918,2.9182,2.31955,0.000205631,0.000205631,0.000205631
76,954.251,1.68436,2.88531,2.1522,0.86761,0.1125,0.21173,0.10936,1.84536,2.96501,2.26082,0.000198018,0.000198018,0.000198018
77,966.245,1.71533,2.91516,2.18228,0.71696,0.15417,0.24632,0.13864,1.87826,3.0987,2.29791,0.000190404,0.000190404,0.000190404
78,978.236,1.76227,3.02285,2.17148,0.78366,0.13333,0.24089,0.11407,1.93323,3.0012,2.30849,0.000182791,0.000182791,0.000182791
79,990.469,1.68702,2.83825,2.09225,0.76164,0.12968,0.18141,0.09628,1.88692,3.07215,2.31468,0.000175178,0.000175178,0.000175178
80,1002.64,1.68329,2.82202,2.13915,0.82568,0.1125,0.20986,0.10997,1.95096,2.87842,2.32977,0.000167565,0.000167565,0.000167565
81,1014.18,1.70751,2.96318,2.10998,0.92824,0.10923,0.22758,0.13326,1.85682,3.04982,2.27907,0.000159952,0.000159952,0.000159952
82,1025.68,1.62629,2.76974,2.09624,0.81474,0.1125,0.20333,0.09533,1.85678,2.68703,2.23435,0.000152339,0.000152339,0.000152339
83,1037.9,1.66193,2.85106,2.07959,0.76843,0.14269,0.21591,0.09038,1.88938,2.9365,2.32334,0.000144726,0.000144726,0.000144726
84,1049.94,1.60414,2.75512,2.05354,0.73864,0.175,0.21348,0.11295,1.85478,2.96063,2.29101,0.000137113,0.000137113,0.000137113
85,1061.5,1.59974,2.77705,2.06142,0.71453,0.13333,0.20399,0.0948,1.91046,2.98718,2.31914,0.0001295,0.0001295,0.0001295
86,1074.38,1.66403,2.78616,2.09706,0.82165,0.1125,0.19811,0.08846,1.90361,2.88232,2.33252,0.000121887,0.000121887,0.000121887
87,1085.81,1.61494,2.74619,2.07164,0.72155,0.14608,0.23728,0.11008,1.80264,2.80951,2.27177,0.000114273,0.000114273,0.000114273
88,1097.18,1.64144,2.86026,2.08878,0.8317,0.1125,0.22322,0.12367,1.8155,2.94296,2.25767,0.00010666,0.00010666,0.00010666
89,1108.38,1.62651,2.80715,2.05949,0.67937,0.1381,0.18158,0.0824,1.83365,2.96095,2.28243,9.90472e-05,9.90472e-05,9.90472e-05
90,1119.83,1.63461,2.71572,2.06929,0.76114,0.15295,0.22575,0.11321,1.90933,2.88568,2.27126,9.14341e-05,9.14341e-05,9.14341e-05
91,1159.09,1.53278,4.02357,1.95976,0.79953,0.15417,0.31712,0.20733,1.88239,2.99534,2.21322,8.3821e-05,8.3821e-05,8.3821e-05
92,1168.79,1.4911,3.14417,1.96597,0.6878,0.15417,0.25742,0.1558,1.86869,2.91381,2.24278,7.62079e-05,7.62079e-05,7.62079e-05
93,1178.86,1.45473,2.66284,1.98104,0.79937,0.1125,0.20904,0.10656,1.89771,2.87402,2.29879,6.85948e-05,6.85948e-05,6.85948e-05
94,1189.15,1.46885,2.85802,1.98472,0.88695,0.12716,0.33376,0.19433,1.87665,3.14711,2.28532,6.09817e-05,6.09817e-05,6.09817e-05
95,1199.85,1.45268,2.92001,1.96726,0.88719,0.11034,0.25009,0.13365,1.87145,3.23068,2.23988,5.33686e-05,5.33686e-05,5.33686e-05
96,1210.55,1.43213,2.8781,1.94115,0.85854,0.10998,0.22169,0.11501,1.85704,3.28949,2.22785,4.57555e-05,4.57555e-05,4.57555e-05
97,1220.82,1.35795,2.96117,1.8553,0.84702,0.10958,0.2186,0.11044,1.887,3.35283,2.25022,3.81424e-05,3.81424e-05,3.81424e-05
98,1231.7,1.38654,2.83035,1.89059,0.80435,0.13333,0.23217,0.11811,1.8716,3.20749,2.24176,3.05293e-05,3.05293e-05,3.05293e-05
99,1242.24,1.43617,2.60129,1.97116,0.7425,0.13333,0.23184,0.12161,1.84827,3.1782,2.23816,2.29162e-05,2.29162e-05,2.29162e-05
100,1252.71,1.36759,2.93337,1.91425,0.72089,0.13333,0.22354,0.11736,1.83476,3.14136,2.22944,1.53031e-05,1.53031e-05,1.53031e-05
