epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7068,3.51453,12.469,4.19813,0,0,0,0,3.74321,4.60832,4.15928,0.000251673,0.000251673,0.000251673
2,23.1158,3.33793,6.97253,4.16395,0,0,0,0,3.70613,4.58187,4.1285,0.000502977,0.000502977,0.000502977
3,32.5391,3.32108,6.69815,3.9969,0.00172,0.14583,0.00157,0.00062,3.26229,4.43909,3.89269,0.000749205,0.000749205,0.000749205
4,42.0165,3.1246,8.01872,3.71615,0.00188,0.04167,0.00124,0.00046,3.22418,4.24068,3.54282,0.000746161,0.000746161,0.000746161
5,51.959,3.19928,5.92951,3.67639,0.00238,0.1875,0.05335,0.03695,3.05102,4.40298,3.54715,0.000738548,0.000738548,0.000738548
6,62.1896,3.08536,5.94524,3.54479,0.00057,0.08333,0.02501,0.00844,2.94904,3.93545,3.33403,0.000730935,0.000730935,0.000730935
7,74.197,3.00959,5.3655,3.4231,0.01516,0.15417,0.02433,0.00665,3.0357,3.77121,3.30316,0.000723321,0.000723321,0.000723321
8,87.3029,3.05116,5.42081,3.3519,0.00084,0.1875,0.00342,0.00046,3.07127,3.6618,3.44379,0.000715708,0.000715708,0.000715708
9,102.2,2.8518,5.17385,3.25748,0.00904,0.24583,0.00954,0.00214,2.68938,3.86817,3.03218,0.000708095,0.000708095,0.000708095
10,114.466,2.79979,5.13475,3.18087,0.00658,0.19583,0.01234,0.0043,2.77623,3.61095,3.01834,0.000700482,0.000700482,0.000700482
11,126.29,2.75065,4.76144,3.12228,0.00145,0.14583,0.01903,0.00482,2.53397,3.79074,2.88856,0.000692869,0.000692869,0.000692869
12,138.275,2.70448,4.8553,3.10126,0.00603,0.2875,0.08018,0.02995,2.34174,3.4734,2.8318,0.000685256,0.000685256,0.000685256
13,150.117,2.67109,4.60533,3.04389,0.00254,0.2375,0.01191,0.0033,2.45969,3.61557,2.91709,0.000677643,0.000677643,0.000677643
14,162.027,2.57704,4.5114,2.98796,0.01435,0.30833,0.09092,0.02508,2.48368,3.46997,2.93725,0.00067003,0.00067003,0.00067003
15,177.422,2.57883,4.48175,2.97568,0.65087,0.03377,0.06189,0.02876,2.51317,3.42712,2.82775,0.000662417,0.000662417,0.000662417
16,189.8,2.54751,4.46752,2.92806,0.02977,0.50833,0.14961,0.04587,2.33041,3.38821,2.83697,0.000654804,0.000654804,0.000654804
17,201.147,2.42321,4.33007,2.86952,0.04319,0.34167,0.21358,0.10869,2.43922,3.83649,2.9628,0.00064719,0.00064719,0.00064719
18,212.426,2.37629,4.1599,2.85028,0.01436,0.33333,0.07358,0.01371,2.32246,3.47326,2.76751,0.000639577,0.000639577,0.000639577
19,223.912,2.49433,4.39737,2.93804,0.02843,0.18333,0.09046,0.01942,2.52759,3.98153,2.94991,0.000631964,0.000631964,0.000631964
20,238.488,2.39475,4.26265,2.86941,0.76253,0.02083,0.03768,0.01495,2.4363,3.20255,3.0054,0.000624351,0.000624351,0.000624351
21,251.095,2.42934,4.52501,2.84163,0.00417,0.14583,0.05288,0.01475,2.27582,4.0363,2.77483,0.000616738,0.000616738,0.000616738
22,263.398,2.36213,4.26803,2.8142,0.03308,0.51667,0.14389,0.05908,2.2249,3.40172,2.71994,0.000609125,0.000609125,0.000609125
23,275.286,2.32615,4.03996,2.77351,0.02543,0.39167,0.13408,0.03764,2.39182,3.80104,2.84129,0.000601512,0.000601512,0.000601512
24,287.656,2.32752,4.11647,2.76049,0.03951,0.34167,0.1379,0.04275,2.34842,3.71837,2.72739,0.000593899,0.000593899,0.000593899
25,300.841,2.35387,3.96746,2.76172,0.02234,0.4125,0.29942,0.06874,2.25695,3.38516,2.65135,0.000586286,0.000586286,0.000586286
26,313.705,2.27638,4.48697,2.63924,0.02185,0.55833,0.20649,0.06468,2.10147,3.38028,2.60436,0.000578672,0.000578672,0.000578672
27,326.592,2.26468,3.94804,2.70981,0.63917,0.07903,0.13437,0.03759,2.23619,3.21577,2.66183,0.000571059,0.000571059,0.000571059
28,340.468,2.32492,3.95435,2.74195,0.08166,0.49583,0.15628,0.05683,2.23089,3.85166,2.67933,0.000563446,0.000563446,0.000563446
29,354.021,2.32913,3.89095,2.71499,0.02044,0.4125,0.22817,0.04649,2.10301,3.43081,2.59047,0.000555833,0.000555833,0.000555833
30,367.411,2.20397,3.83305,2.62384,0.03387,0.4125,0.2261,0.06135,2.13021,3.44607,2.54849,0.00054822,0.00054822,0.00054822
31,379.589,2.07974,3.89592,2.58618,0.03104,0.61667,0.31762,0.11886,2.13569,3.41624,2.67205,0.000540607,0.000540607,0.000540607
32,391.611,2.19063,3.88224,2.60114,0.07225,0.23797,0.1877,0.07057,1.98181,3.39354,2.56233,0.000532994,0.000532994,0.000532994
33,403.656,2.08027,3.7388,2.52642,0.64788,0.04167,0.34326,0.1091,2.08736,3.09861,2.5473,0.000525381,0.000525381,0.000525381
34,415.741,2.12664,3.63185,2.58775,0.04,0.51667,0.14864,0.05434,2.17669,3.75152,2.7197,0.000517768,0.000517768,0.000517768
35,427.822,2.12743,3.6947,2.61054,0.19823,0.44583,0.27496,0.08909,2.17558,3.08061,2.57037,0.000510155,0.000510155,0.000510155
36,439.996,2.14406,3.77999,2.59303,0.58454,0.0539,0.15424,0.05258,2.24232,3.38742,2.75292,0.000502541,0.000502541,0.000502541
37,451.814,2.1083,3.69194,2.60564,0.678,0.04167,0.32375,0.10701,2.20898,3.34439,2.62814,0.000494928,0.000494928,0.000494928
38,464.06,2.05892,3.64265,2.49764,0.03608,0.5875,0.34048,0.13166,2.00236,3.39043,2.56928,0.000487315,0.000487315,0.000487315
39,476.025,2.04942,3.52382,2.52299,0.56655,0.08333,0.14564,0.05812,2.10768,3.06255,2.56013,0.000479702,0.000479702,0.000479702
