epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,622.662,1.76251,2.5175,2.05424,0.62959,0.4875,0.39782,0.22205,1.60403,2.11535,1.96361,0.00044925,0.00044925,0.00044925
44,638.084,1.78212,2.54457,2.08641,0.74272,0.31444,0.39406,0.21238,1.58897,2.01095,1.93346,0.000441637,0.000441637,0.000441637
45,653.382,1.74275,2.50206,2.04616,0.58808,0.46834,0.39161,0.21387,1.56019,1.97135,1.89427,0.000434024,0.000434024,0.000434024
46,668.473,1.71759,2.43513,2.01016,0.69146,0.41507,0.44492,0.22251,1.61704,1.92801,1.94904,0.000426411,0.000426411,0.000426411
47,683.811,1.73058,2.43871,2.02607,0.74897,0.43795,0.40912,0.23528,1.6332,1.97712,1.94889,0.000418797,0.000418797,0.000418797
48,699.084,1.71978,2.47402,2.02831,0.5124,0.46667,0.41185,0.20814,1.51131,1.8837,1.869,0.000411184,0.000411184,0.000411184
49,713.968,1.75247,2.46161,2.05202,0.65487,0.46667,0.42118,0.23402,1.60675,1.911,1.94132,0.000403571,0.000403571,0.000403571
50,729.358,1.69308,2.44942,1.9869,0.61916,0.33595,0.40745,0.2329,1.5162,1.82832,1.87612,0.000395958,0.000395958,0.000395958
51,744.354,1.6993,2.45812,2.01994,0.64138,0.46667,0.46145,0.27245,1.49844,1.81441,1.85183,0.000388345,0.000388345,0.000388345
52,759.659,1.68819,2.38987,2.00756,0.75148,0.46667,0.40685,0.24487,1.48596,1.85832,1.85476,0.000380732,0.000380732,0.000380732
53,775.606,1.7043,2.43581,1.99663,0.80627,0.41454,0.46534,0.24006,1.56168,2.09787,1.90436,0.000373119,0.000373119,0.000373119
54,791.881,1.70295,2.39239,1.97483,0.73621,0.46667,0.41805,0.23215,1.51163,1.88604,1.88792,0.000365506,0.000365506,0.000365506
55,807.075,1.70981,2.37237,1.99292,0.73363,0.44583,0.38426,0.1927,1.62904,1.99926,1.89155,0.000357893,0.000357893,0.000357893
56,822.822,1.69275,2.37244,1.97967,0.58506,0.46667,0.3982,0.23558,1.52093,1.89495,1.81833,0.00035028,0.00035028,0.00035028
57,838.082,1.71463,2.3756,2.0082,0.73925,0.44583,0.56897,0.31787,1.48696,1.81967,1.8396,0.000342666,0.000342666,0.000342666
58,853.635,1.68782,2.36651,1.97612,0.6521,0.46667,0.41176,0.24291,1.44762,1.85704,1.81372,0.000335053,0.000335053,0.000335053
59,869.051,1.67536,2.30874,1.98235,0.72979,0.49287,0.55182,0.32306,1.51264,1.7918,1.85864,0.00032744,0.00032744,0.00032744
