epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0672,1.39552,4.35863,1.40794,0.01389,0.6116,0.07788,0.04131,1.10466,3.40171,1.2255,0.00019994,0.00019994,0.00019994
2,20.65,1.37186,3.34911,1.41982,0.87789,0.05637,0.08683,0.0462,1.30691,2.68648,1.35976,0.0003995,0.0003995,0.0003995
3,27.9896,1.32266,3.01189,1.43572,0.61982,0.1409,0.14845,0.08318,1.31371,2.44951,1.43608,0.000590838,0.000590838,0.000590838
4,35.5071,1.35526,2.94463,1.45493,0.66795,0.10392,0.13944,0.08678,1.27193,2.73136,1.40487,0.000723321,0.000723321,0.000723321
5,42.9742,1.34659,2.76917,1.42845,0.70946,0.14545,0.11898,0.06965,1.41235,3.08014,1.55594,0.000708095,0.000708095,0.000708095
6,50.5801,1.36819,2.71086,1.46041,0.47055,0.27101,0.12729,0.07118,1.53249,3.52117,1.71794,0.000692869,0.000692869,0.000692869
7,59.4966,1.31581,2.54672,1.42645,0.51585,0.21986,0.18146,0.09724,1.38865,2.46556,1.58217,0.000677643,0.000677643,0.000677643
8,69.683,1.30073,2.54203,1.4097,0.52826,0.16268,0.14556,0.08017,1.45016,2.36478,1.59636,0.000662417,0.000662417,0.000662417
9,82.4496,1.30868,2.5318,1.42194,0.73091,0.14244,0.17601,0.09701,1.4889,2.35635,1.63192,0.00064719,0.00064719,0.00064719
10,92.5653,1.30999,2.36451,1.39877,0.70745,0.09531,0.15371,0.08251,1.33626,2.6123,1.46659,0.000631964,0.000631964,0.000631964
11,101.832,1.26669,2.29344,1.37514,0.57599,0.22211,0.2383,0.11612,1.46166,2.32937,1.61427,0.000616738,0.000616738,0.000616738
12,110.137,1.24033,2.1987,1.38159,0.498,0.18832,0.15164,0.08776,1.299,2.11216,1.47438,0.000601512,0.000601512,0.000601512
13,118.07,1.19928,2.09268,1.32187,0.32791,0.24626,0.1861,0.10732,1.36319,2.54548,1.53458,0.000586286,0.000586286,0.000586286
14,125.87,1.17504,2.14362,1.32984,0.48845,0.24027,0.20847,0.1299,1.34975,2.42716,1.49361,0.000571059,0.000571059,0.000571059
15,134.189,1.20504,2.01183,1.35703,0.52393,0.21562,0.18757,0.12539,1.36376,2.68208,1.51461,0.000555833,0.000555833,0.000555833
16,141.961,1.19511,1.96542,1.34158,0.56684,0.28935,0.23392,0.13597,1.34908,2.26799,1.49799,0.000540607,0.000540607,0.000540607
17,149.994,1.18093,1.96855,1.32859,0.59747,0.23617,0.20428,0.11873,1.34784,2.37734,1.51382,0.000525381,0.000525381,0.000525381
18,157.886,1.16709,1.90481,1.30202,0.66498,0.19587,0.20688,0.12394,1.30262,2.33813,1.44759,0.000510155,0.000510155,0.000510155
19,165.714,1.16437,1.77771,1.29589,0.62114,0.2146,0.25732,0.15937,1.40208,2.04134,1.54065,0.000494928,0.000494928,0.000494928
20,173.483,1.09669,1.64227,1.26603,0.57342,0.22984,0.22637,0.13942,1.42492,2.10811,1.60292,0.000479702,0.000479702,0.000479702
21,181.182,1.15679,1.75446,1.30286,0.42382,0.26652,0.23648,0.1323,1.37991,2.20692,1.55564,0.000464476,0.000464476,0.000464476
22,189.097,1.11866,1.56021,1.29729,0.40069,0.21296,0.19767,0.11897,1.37282,2.38363,1.51063,0.00044925,0.00044925,0.00044925
23,196.683,1.05707,1.54219,1.27607,0.41656,0.24185,0.24643,0.15547,1.28059,1.93988,1.41635,0.000434024,0.000434024,0.000434024
24,203.99,1.04998,1.55316,1.23473,0.42953,0.2078,0.22605,0.1348,1.35286,1.95501,1.47593,0.000418797,0.000418797,0.000418797
25,211.523,1.05208,1.48195,1.23726,0.39941,0.27142,0.22939,0.14681,1.34307,2.10278,1.47857,0.000403571,0.000403571,0.000403571
26,219.362,1.04456,1.39764,1.24418,0.46263,0.29797,0.24007,0.143,1.27807,2.10161,1.48449,0.000388345,0.000388345,0.000388345
27,227.209,1.02331,1.34802,1.21467,0.68703,0.25852,0.28938,0.18336,1.44707,2.18928,1.64489,0.000373119,0.000373119,0.000373119
28,234.981,0.98986,1.30117,1.20715,0.43698,0.37943,0.30626,0.20454,1.31655,1.93129,1.51317,0.000357893,0.000357893,0.000357893
29,242.668,1.00859,1.32115,1.22832,0.64231,0.24174,0.27808,0.17728,1.2538,2.00721,1.42145,0.000342666,0.000342666,0.000342666
