epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,250.791,1.03339,1.28892,1.22211,0.58848,0.35342,0.27103,0.17157,1.29416,1.9885,1.46137,0.00032744,0.00032744,0.00032744
31,259.501,0.97473,1.21842,1.17988,0.63349,0.30751,0.29486,0.19058,1.28819,2.06661,1.44608,0.000312214,0.000312214,0.000312214
32,267.976,0.93883,1.20811,1.1547,0.62017,0.31613,0.30767,0.19924,1.27081,1.85027,1.45141,0.000296988,0.000296988,0.000296988
33,276.217,0.92482,1.1134,1.16468,0.80484,0.24506,0.29575,0.1793,1.26494,2.10462,1.44786,0.000281762,0.000281762,0.000281762
34,284.22,0.95139,1.14878,1.15654,0.75907,0.2499,0.30876,0.20858,1.24913,2.06571,1.41691,0.000266535,0.000266535,0.000266535
35,292.349,0.93502,1.18993,1.1594,0.60653,0.28652,0.2869,0.20318,1.17856,1.97738,1.37502,0.000251309,0.000251309,0.000251309
36,300.202,0.89386,1.1066,1.13687,0.3995,0.32225,0.28044,0.18862,1.20802,1.98357,1.41142,0.000236083,0.000236083,0.000236083
37,308.533,0.90547,1.10056,1.13497,0.71217,0.22717,0.26989,0.16996,1.28198,1.96144,1.4798,0.000220857,0.000220857,0.000220857
38,316.8,0.91929,1.08508,1.14676,0.65339,0.3359,0.2987,0.1955,1.29116,1.99802,1.50655,0.000205631,0.000205631,0.000205631
39,325.073,0.90102,1.10327,1.136,0.49686,0.39804,0.3139,0.20536,1.3311,2.04502,1.52841,0.000190404,0.000190404,0.000190404
40,333.248,0.87927,1.03763,1.13884,0.51204,0.39378,0.30862,0.19103,1.26599,2.06346,1.48221,0.000175178,0.000175178,0.000175178
41,386.256,0.79899,1.13078,1.07453,0.6134,0.36807,0.35466,0.23189,1.35905,2.12104,1.58865,0.000159952,0.000159952,0.000159952
42,393.525,0.7934,1.07056,1.10388,0.76309,0.30021,0.379,0.25366,1.34891,1.89133,1.57713,0.000144726,0.000144726,0.000144726
43,400.523,0.77497,0.97884,1.04895,0.56042,0.39146,0.39656,0.25753,1.34226,1.90129,1.57877,0.0001295,0.0001295,0.0001295
44,407.532,0.71185,0.92837,1.03265,0.57326,0.45493,0.35522,0.23087,1.32548,1.86193,1.57372,0.000114273,0.000114273,0.000114273
45,414.39,0.70331,0.87914,1.01537,0.62253,0.44302,0.36591,0.23243,1.30173,1.89497,1.53558,9.90472e-05,9.90472e-05,9.90472e-05
46,421.481,0.70273,0.90437,1.00872,0.73956,0.3035,0.3888,0.26103,1.28135,1.88894,1.51065,8.3821e-05,8.3821e-05,8.3821e-05
47,428.473,0.6717,0.81656,0.98166,0.7427,0.30497,0.37852,0.25549,1.27861,1.84912,1.52572,6.85948e-05,6.85948e-05,6.85948e-05
48,435.417,0.70792,0.86451,1.01832,0.72985,0.2988,0.36903,0.24925,1.27959,1.90276,1.5628,5.33686e-05,5.33686e-05,5.33686e-05
49,442.358,0.69561,0.87203,1.00943,0.74813,0.33774,0.38191,0.24754,1.28002,1.95129,1.56965,3.81424e-05,3.81424e-05,3.81424e-05
50,449.738,0.68317,0.87579,1.02981,0.70653,0.34041,0.38678,0.25243,1.28654,1.9182,1.56764,2.29162e-05,2.29162e-05,2.29162e-05
